"Index","BTC","ETH","ETC","LTC","BCH","EOS","XRP","TRX","BSV"
"2017-10-31",6436.53,303.57,10.17,55.16,435.21,NA,NA,NA,NA
"2017-11-01",6723.95,289.24,10.06,52.94,533,NA,NA,NA,NA
"2017-11-02",7033.85,283.51,9.94,54.4,570,NA,NA,NA,NA
"2017-11-03",7149.35,307.09,12.55,56.04,621,NA,NA,NA,NA
"2017-11-04",7412.85,300.39,11.74,55.04,617.42,NA,NA,NA,NA
"2017-11-05",7394.64,296.65,13.13,54.79,627.3,NA,NA,NA,NA
"2017-11-06",7008,296.63,13.91,54.95,596,NA,NA,NA,NA
"2017-11-07",7072.51,292.7,13.48,60.47,600.98,NA,NA,NA,NA
"2017-11-08",7388.71,308.5,13.68,61.7,614.92,NA,NA,NA,NA
"2017-11-09",7097.67,318.38,14.07,63.61,652.45,NA,NA,NA,NA
"2017-11-10",6531.32,293,14.35,58.11,958.4,NA,NA,NA,NA
"2017-11-11",6216.11,307.86,18.73,60.74,1309.71,NA,NA,NA,NA
"2017-11-12",5897.37,300.4,14.87,58.1,1357.33,NA,NA,NA,NA
"2017-11-13",6446.63,311.5,15.88,60.47,1344.65,NA,NA,NA,NA
"2017-11-14",6561.99,335.46,17.44,61.97,1252.51,NA,NA,NA,NA
"2017-11-15",7260.73,331.42,17.25,63.09,1190.27,NA,NA,NA,NA
"2017-11-16",7794.63,329.2,16.76,70.94,901.04,NA,NA,NA,NA
"2017-11-17",7684.7,330.9,17.08,67.18,1185,NA,NA,NA,NA
"2017-11-18",7781.89,348.24,17.69,69.43,1240.59,NA,NA,NA,NA
"2017-11-19",8032.39,355.05,17.9,71.46,1169.12,NA,NA,NA,NA
"2017-11-20",8200.01,364.71,18.4,71.99,1247.64,NA,NA,NA,NA
"2017-11-21",8146,363.59,17.8,70,1181.5,NA,NA,NA,NA
"2017-11-22",8246.24,378.91,17.96,71.63,1295.01,NA,NA,NA,NA
"2017-11-23",8130,410,18.13,73.24,1665,NA,NA,NA,NA
"2017-11-24",8139.68,470.39,20.88,77.5,1612,NA,NA,NA,NA
"2017-11-25",8673.74,459.39,21.31,87.58,1537.8,NA,NA,NA,NA
"2017-11-26",9206.43,465.57,21.55,84.5,1702.76,NA,NA,NA,NA
"2017-11-27",9735.37,475.43,24.69,90.51,1591.58,NA,NA,NA,NA
"2017-11-28",9927.63,468,31.4,94.6,1493.1,NA,NA,NA,NA
"2017-11-29",9870,426.12,24.86,85.2,1356.81,NA,NA,NA,NA
"2017-11-30",9819.92,428.07,25.6,84.98,1308.85,NA,NA,NA,NA
"2017-12-01",10766.86,458,29.53,96.34,1418.19,NA,NA,NA,NA
"2017-12-02",10931.57,459.39,28.98,98.99,1400,NA,NA,NA,NA
"2017-12-03",11206.17,461.47,28.95,100.16,1511.27,NA,NA,NA,NA
"2017-12-04",11546.72,467.49,29.14,102.69,1541.66,NA,NA,NA,NA
"2017-12-05",11658.97,452.56,28.1,99.89,1428.3,NA,NA,NA,NA
"2017-12-06",13604.71,416.35,24.86,96.07,1343.82,NA,NA,NA,NA
"2017-12-07",16706.95,413.6,23.43,93.72,1238.66,NA,NA,NA,NA
"2017-12-08",15898.51,441.15,27.84,119.56,1385.92,NA,NA,NA,NA
"2017-12-09",14753.13,461.3,27.7,149.74,1372.03,NA,NA,NA,NA
"2017-12-10",14901,431.14,25.15,143.92,1284.14,NA,NA,NA,NA
"2017-12-11",16478.63,508.67,27.98,204.26,1382.38,NA,NA,NA,NA
"2017-12-12",16147,625.08,29.22,276,1523.5,NA,NA,NA,NA
"2017-12-13",15985.5,684.8,28.87,289.5,1565.4,NA,NA,NA,NA
"2017-12-14",16341.8,681.78,31.05,274.11,1928.14,NA,NA,NA,NA
"2017-12-15",17459.63,674.25,31.44,291.81,1791.81,NA,NA,NA,NA
"2017-12-16",19283.81,682.22,34.06,295.31,1776.82,NA,NA,NA,NA
"2017-12-17",18903.39,706.66,33.84,313.27,1824.88,NA,NA,NA,NA
"2017-12-18",18862.84,777.53,38.09,349.86,2150,NA,NA,NA,NA
"2017-12-19",17497.19,807.99,38.17,342.72,2713.4,NA,NA,NA,NA
"2017-12-20",16412,795.01,38.91,303.77,3722.2,NA,NA,NA,NA
"2017-12-21",15678.27,790.76,37.45,305,3076.99,NA,NA,NA,NA
"2017-12-22",13301.01,636.1,27.4,251.04,2480.99,NA,NA,NA,NA
"2017-12-23",13839.37,666.95,28.19,265.06,2857.65,NA,NA,NA,NA
"2017-12-24",13487.19,653.24,27.4,262.69,2779.79,NA,NA,NA,NA
"2017-12-25",13673.17,716.6,28.6,260.51,2710,NA,NA,NA,NA
"2017-12-26",15749.99,753.99,30,280.75,2956,NA,NA,NA,NA
"2017-12-27",15429.8,740.47,29.1,265,2727.13,NA,NA,NA,NA
"2017-12-28",14255,713.13,26.86,247,2474.08,NA,NA,NA,NA
"2017-12-29",14387.45,735.08,27.26,239.98,2625.02,NA,NA,NA,NA
"2017-12-30",12390.58,681.01,23.68,206.53,2180,NA,NA,NA,NA
"2017-12-31",13703,731.26,25.73,224,2352.47,7.7,1.9653,NA,NA
"2018-01-01",13319,751.14,29.03,221.9,2292.97,7.6,2.0257,NA,NA
"2018-01-02",14651.93,854.52,31.73,248.73,2534.95,8.32,2.1876,NA,NA
"2018-01-03",14984.01,936.84,32.7,241,2535,9.29,2.7,NA,NA
"2018-01-04",15177.1,946.77,33.62,237.09,2346.78,9.45,2.7496,NA,NA
"2018-01-05",17048.77,974,31.5,242.68,2403,9.41,2.56,NA,NA
"2018-01-06",17000,1004.36,33.7,276.5,2513,9.79,2.6453,NA,NA
"2018-01-07",16250,1125.01,35.4,271.07,2560,10.21,2.7745,NA,NA
"2018-01-08",14883.1,1129.96,33.65,251.76,2387.76,9.58,2.3938,NA,NA
"2018-01-09",14423.97,1289.96,37.05,245.67,2367.9,9.19,2.0619,NA,NA
"2018-01-10",14799.75,1253.43,36.46,247.43,2828.5,11.11,1.9249,NA,NA
"2018-01-11",13300.27,1142.35,32.61,226.44,2442.02,11.32,1.9483,NA,NA
"2018-01-12",13777,1254.99,35.59,234.16,2595.53,13.88,2.016,NA,NA
"2018-01-13",14215.29,1380,42.37,258.06,2666.75,16.04,1.9978,NA,NA
"2018-01-14",13489.99,1341,41.9,234.78,2492.24,13.27,1.8295,NA,NA
"2018-01-15",13499.99,1270.99,40.03,230.41,2363.8,12.81,1.6565,NA,NA
"2018-01-16",10915.94,997,27.19,178.36,1696.83,9.81,1.1064,NA,NA
"2018-01-17",10909.95,989.99,28.45,181.76,1706.1,10.04,1.2781,NA,NA
"2018-01-18",11055,999.05,29.77,187.77,1689.76,10.25,1.5652,NA,NA
"2018-01-19",11513.64,1038,31.85,192.8,1763.54,11.2,1.5484,NA,NA
"2018-01-20",12758.27,1150.07,35.06,210.31,2025.13,15.65,1.5627,NA,NA
"2018-01-21",11500,1046.34,30.44,189.83,1770.09,13.5,1.3614,NA,NA
"2018-01-22",10801,995.23,29.14,178.76,1605.01,13.6,1.3407,NA,NA
"2018-01-23",10795.9,982.67,28.05,176.46,1613,12.9,1.3329,NA,NA
"2018-01-24",11336.46,1065.53,29.62,180.13,1646.51,13.92,1.3483,NA,NA
"2018-01-25",11186.5,1053.22,29.15,179.6,1640.33,14.31,1.3086,NA,NA
"2018-01-26",11100,1050,28.65,176.03,1597.88,14.35,1.2115,NA,NA
"2018-01-27",11423.11,1114,29.63,181.35,1632.46,14.36,1.215,NA,NA
"2018-01-28",11839.68,1244.33,32.39,195.93,1762.12,14.7,1.3698,NA,NA
"2018-01-29",11254.52,1175,31.15,181.96,1658.48,13.54,1.2675,NA,NA
"2018-01-30",10200.05,1079.9,27.2,167.35,1479.72,11.4,1.1177,NA,NA
"2018-01-31",10256.13,1124.9,28.8,164.86,1495.51,11.99,1.1395,NA,NA
"2018-02-01",9268.88,1045.45,25.13,144.09,1287.77,10.17,0.961,NA,NA
"2018-02-02",8896.81,924.91,23.29,132.23,1200,10.27,0.9017,NA,NA
"2018-02-03",9195.94,970,24.29,160,1271.79,10.6,0.9558,NA,NA
"2018-02-04",8180.39,822.99,20.71,147.61,1156.59,8.91,0.8116,NA,NA
"2018-02-05",6920.13,696.22,16.41,125.24,878.79,7.06,0.6805,NA,NA
"2018-02-06",7673,779.51,19.1,141.6,966.02,8.26,0.7607,NA,NA
"2018-02-07",7600.61,756.43,18.16,138.28,953.07,7.7,0.7169,NA,NA
"2018-02-08",8256.18,818,21.77,149.83,1285.65,8.35,0.78,NA,NA
"2018-02-09",8685.33,875.9,25.75,163.63,1302.24,9.5,0.9183,NA,NA
"2018-02-10",8548.01,853.76,24.11,154.95,1239.05,8.93,1.031,NA,NA
